DELITO,CLASIFICACION DEL DELITO,COLONIA DEL HECHO,FECHA DE REGISTRO DEL DELITO,FECHA DEL HECHO DEL DELITO,HORA DEL HECHO DEL DELITO,MUNICIPIO
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,INFONAVIT CACHANILLAS,01/01/19,01/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,LOS SANTOS,01/01/19,01/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,RESIDENCIAL AGUA CALIENTE,01/01/19,01/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,ARTICULO 123,11/01/19,11/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,OTAY UNIVERSIDAD,02/01/19,21/12/18,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,ZONA RIO,02/01/19,02/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,MARIANO MATAMOROS NORTE,03/01/19,02/01/19,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,BAJA MALIBU SECCION PLAYAS,18/05/19,18/05/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,EL LAGO,05/01/19,05/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,CHAPULTEPEC,07/01/19,07/01/19,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,MEXICO,07/01/19,06/01/19,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,LOMAS DE LA PRESA,07/01/19,31/12/18,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,CALETE,09/01/19,09/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,PRESIDENTES,10/01/19,10/01/19,0:00,TIJUANA
ROBO SIMPLE,ROBO SIMPLE (EN VIA PUBLICA),COLINAS DEL SOL,11/01/19,09/01/19,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,JARDINES DEL RUBI,11/01/19,11/01/19,0:00,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,LAS PALMAS,24/01/19,23/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,LOMAS DE AGUA CALIENTE,14/01/19,13/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,"LA JOYA, LA GLORIA",02/01/19,01/12/18,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,LOMAS SANTA FE,02/05/19,01/05/19,0:00,TIJUANA
ROBO SIMPLE,ROBO SIMPLE (EN VIA PUBLICA),EL MIRADOR,02/05/19,30/04/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,LOS PINOS,28/01/19,27/01/19,0:00,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,EL PIPILA,19/01/19,18/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,EL MIRADOR,28/05/19,28/05/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,POBLADO EJIDO MATAMOROS,09/01/19,08/01/19,0:00,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,OBRERA,02/02/19,01/02/19,0:00,TIJUANA
ROBO SIMPLE,ROBO SIMPLE (EN VIA PUBLICA),ZONA NORTE,21/01/19,12/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,NUEVA TIJUANA,06/01/19,06/01/19,0:00,TIJUANA
ROBO CALIFICADO DE DEPENDIENTE,OTROS ROBOS SIN VIOLENCIA,RIO TIJUANA TERCERA ETAPA,23/01/19,16/12/18,0:00,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,LOS ALAMOS,24/01/19,23/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,HIPODROMO,24/01/19,21/01/19,0:00,TIJUANA
ROBO SIMPLE,ROBO SIMPLE (EN VIA PUBLICA),TOMAS AQUINO,25/01/19,25/01/19,0:00,TIJUANA
ROBO SIMPLE,OTROS ROBOS SIN VIOLENCIA,ZONA CENTRO,28/01/19,01/12/18,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,CAMINO VERDE,28/01/19,08/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,LA ESCONDIDA,28/01/19,27/01/19,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,CAMPESTRE MURUA,30/01/19,10/01/19,0:00,TIJUANA
ROBO SIMPLE,OTROS ROBOS SIN VIOLENCIA,PRESIDENTES,30/01/19,28/01/19,0:00,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,CERRO COLORADO,31/01/19,31/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,RIO TIJUANA TERCERA ETAPA,31/01/19,31/01/19,0:00,TIJUANA
ROBO EN GRADO DE TENTATIVA,OTROS ROBOS SIN VIOLENCIA,CHAPULTEPEC,01/02/19,27/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA,VILLAS DE BAJA CALIFORNIA,01/02/19,01/02/19,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,JARDINES DEL SOL,19/02/19,13/02/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,LOS ALAMOS,28/02/19,28/02/19,0:00,TIJUANA
ROBO CALIFICADO A LUGAR CERRADO,OTROS ROBOS SIN VIOLENCIA,LOS ALAMOS,28/02/19,28/02/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,EL FLORIDO,09/02/19,09/02/19,0:00,TIJUANA
ROBO CALIFICADO A COMERCIO,ROBO A COMERCIO,RIO TIJUANA TERCERA ETAPA,06/02/19,06/02/19,0:00,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,DIEZ DE MAYO,07/02/19,21/01/19,0:00,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,LIBERTAD PARTE BAJA,07/02/19,24/01/19,0:00,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,VILLA FONTANA,08/02/19,08/02/19,0:00,TIJUANA
ROBO SIMPLE,OTROS ROBOS SIN VIOLENCIA,LAS CUMBRES,07/02/19,07/02/19,0:00,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),ZONA RIO,13/02/19,13/02/19,0:00,TIJUANA
HOMICIDIO CALIFICADO (VIOLENTO),HOMICIDIO CALIFICADO (VIOLENTO),NO DEFINIDO ,21/02/19,21/02/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,LADERAS DE OTAY,15/02/19,15/02/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,DAVILA,16/02/19,16/02/19,0:00,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,MARIANO MATAMOROS CENTRO,28/02/19,12/01/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,HIPODROMO DOS,17/02/19,17/02/19,0:00,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,EL REFUGIO,19/02/19,03/02/19,0:00,TIJUANA
ROBO CALIFICADO A COMERCIO,ROBO A COMERCIO,20 DE NOVIEMBRE,23/02/19,23/02/19,0:00,TIJUANA
ROBO POR QUERELLA,OTROS ROBOS SIN VIOLENCIA,VILLA DEL CAMPO RES,27/02/19,27/02/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,DEL RIO PARTE BAJA,25/02/19,22/02/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,HACIENDA ACUEDUCTO,27/02/19,27/02/19,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,FRACC NATURA,27/02/19,23/02/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,LOS ALTOS,04/02/19,04/02/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,JARDINES DE AGUA CALIENTE,03/03/19,03/03/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,FOVISSSTE V,04/03/19,04/03/19,0:00,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,MARIANO MATAMOROS CENTRO,29/03/19,28/03/19,0:00,TIJUANA
ROBO CON VIOLENCIA,OTROS ROBOS CON VIOLENCIA,PEDREGAL DE SANTA JULIA,06/03/19,05/03/19,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,EJIDO FRANCISCO VILLA,20/03/19,17/03/19,0:00,TIJUANA
ROBO CALIFICADO A LUGAR CERRADO,OTROS ROBOS SIN VIOLENCIA,LOS ESPAÑOLES,07/03/19,07/03/19,0:00,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,JARDINES DEL RUBI,07/03/19,02/03/19,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,SANCHEZ TABOADA,08/03/19,07/03/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,EL FLORIDO PRIMERA Y SEGUNDA SECCION,24/03/19,23/03/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,CAMINO VERDE,13/03/19,12/03/19,0:00,TIJUANA
ROBO SIMPLE,ROBO SIMPLE (EN VIA PUBLICA),MORENO,22/03/19,22/03/19,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,JARDINES DE AGUA CALIENTE,06/03/19,06/03/19,0:00,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,MIGUEL HIDALGO,16/03/19,12/03/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,AMPLIACION GUAYCURA,16/03/19,16/03/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,AMPLIACION GABRIEL RODRIGUEZ,19/03/19,19/03/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,NUEVO MILENIO,20/03/19,20/03/19,0:00,TIJUANA
ROBO DE VEHÍCULO CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA,MARIANO MATAMOROS NORTE,20/03/19,18/03/19,0:00,TIJUANA
ROBO CON VIOLENCIA A COMERCIO,ROBO CON VIOLENCIA A COMERCIO,HACIENDA LAS FUENTES,21/03/19,11/03/19,0:00,TIJUANA
LESIONES CULPOSAS,LESIONES CULPOSAS,HIPODROMO,22/03/19,12/03/19,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,NUEVA TIJUANA,01/03/19,01/03/19,0:00,TIJUANA
ROBO SIMPLE,OTROS ROBOS SIN VIOLENCIA,EL PIPILA,27/03/19,16/03/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,BUENOS AIRES SUR,23/03/19,21/03/19,0:00,TIJUANA
ROBO SIMPLE,OTROS ROBOS SIN VIOLENCIA,RANCHO ESCONDIDO,11/03/19,09/03/19,0:00,TIJUANA
ROBO SIMPLE,OTROS ROBOS SIN VIOLENCIA,RESIDENCIAL AGUA CALIENTE,28/03/19,28/03/19,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,VALLE SAN PEDRO,25/03/19,02/01/19,0:00,TIJUANA
ROBO CALIFICADO A LUGAR CERRADO,OTROS ROBOS SIN VIOLENCIA,SANCHEZ TABOADA,29/03/19,01/03/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,VILLA DEL ALAMO,30/03/19,03/03/19,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,PLANICIE,30/03/19,30/03/19,0:00,TIJUANA
ROBO DE VEHÍCULO CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA,ZONA CENTRO,01/04/19,01/04/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,INFONAVIT CAPISTRANO,01/04/19,30/03/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,LOMAS HIPODROMO,01/04/19,01/04/19,0:00,TIJUANA
ROBO SIMPLE,ROBO SIMPLE (EN VIA PUBLICA),AGUA CALIENTE,02/04/19,31/03/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,JOSE SANDOVAL,02/04/19,01/04/19,0:00,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,LOS REYES,02/04/19,31/03/19,0:00,TIJUANA
ROBO CALIFICADO A LUGAR CERRADO,OTROS ROBOS SIN VIOLENCIA,LOMAS DEL MATAMOROS,11/04/19,11/04/19,0:00,TIJUANA
ROBO CALIFICADO A CASA HABITACIÓN,ROBO EN CASA HABITACION,EL JIBARITO,06/04/19,06/04/19,0:00,TIJUANA
LESIONES INTENCIONALES,LESIONES DOLOSAS,HUERTAS SECC I,11/08/19,11/08/19,0:00,TIJUANA
ROBO CON VIOLENCIA,ROBO CON VIOLENCIA (EN VIA PUBLICA),ZONA CENTRO,06/04/19,05/04/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,LOMAS DEL REFUGIO,07/04/19,07/04/19,0:00,TIJUANA
ROBO DE VEHÍCULO,ROBO DE VEHÍCULO,EL REFUGIO,10/04/19,09/04/19,0:00,TIJUANA
